Species,Genotype,Tag,Tank,Light.Trt,Feed.Trt,Treat.Int,Fraction,Sample.ID,Analysis.ID,Alanine,Glycine,Threonine,Serine,Valine,Leucine,Isoleucine,Norleucine,Proline,Aspartic acid,Methionine,Glutamic acid,Phenylalanine,Aminoadipic Acid,Tyrosine,Lysine
plankton,plank,NA,plank,plank,plank,plank,plank,PLANK,B1V5,12.52790887,5.600842659,-1.981262272,6.050563061,9.787650821,6.715856037,7.246780684,18.19600278,11.98844757,8.93673969,NA,11.55222248,0.569874978,-6.278246809,4.617273065,3.838998722
M capitata,A,89,tank5,Light,NoFeed,L-NF,host,T5A-HOST,B1V7.redo,7.847327468,2.91427932,-2.841545925,2.471675187,4.713939928,3.738042173,5.378339006,16.3517671,7.172413667,6.307249092,NA,5.953691521,1.206622541,-5.440325503,2.944837735,2.827532853
M capitata,A,89,tank5,Light,NoFeed,L-NF,symb,T5A-SYMB,B1V4,4.161510574,2.416593573,-0.88769904,2.673792285,5.625749388,3.470355938,7.967820501,19.02063126,5.148293449,5.360154798,NA,5.426751177,2.33843881,-6.696166806,3.217574253,2.002628487
M capitata,B,90,tank5,Light,NoFeed,L-NF,host,T5B-HOST,B1V1,8.445,4.909333333,2.415,6.512,7.545,5.638,6.414333333,19.06,8.628333333,8.073333333,NA,7.287666667,-0.076,-6.2,1.804333333,3.494666667
M capitata,B,90,tank5,Light,NoFeed,L-NF,symb,T5B-SYMB,B1V6,3.413051468,4.41810205,3.14079699,5.217704939,6.315661279,2.821052992,7.518209422,19.1899114,2.949744657,5.197028703,NA,5.92778456,3.663046837,-5.91298547,5.685931659,3.202732585
M capitata,A,91,tank6,Light,Fed,L-F,host,T6A-HOST,B2V6,6.664737072,2.513625133,-2.075883157,3.121291803,6.944946507,4.422417671,6.219414623,17.66620843,5.728406394,5.733160962,NA,6.024922368,2.361962656,-6.495643249,1.998484538,3.03083465
M capitata,A,91,tank6,Light,Fed,L-F,symb,T6A-SYMB,B1V2,4.758715155,4.04948396,0.069691887,2.942486647,5.572359956,1.757356703,6.828874711,18.80092458,4.039184658,4.905036262,NA,5.337606916,-1.323199824,-5.315422088,2.18495528,1.719355833
M capitata,B,92,tank6,Light,Fed,L-F,host,T6B-HOST,B2V1,5.672675299,2.143736904,-1.0361209,3.501343406,5.474638663,3.341358614,4.355346127,17.52482553,5.909505437,5.718191896,NA,5.829239654,0.686516539,-5.52276139,2.691482066,3.466718676
M capitata,B,92,tank6,Light,Fed,L-F,symb,T6B-SYMB,B2V4,6.373142875,6.153863875,4.215246521,4.945441917,6.749994221,2.366618037,4.339027129,19.35725115,2.784974453,5.379592298,NA,5.609523042,3.619483477,-5.664796714,5.991883911,3.34951687
M capitata,A,93,tank8,Dark,Fed,D-F,host,T8A-HOST,B1V3,5.758753109,0.774931109,-2.222030893,3.351731168,6.410435572,5.830963364,9.929012286,18.46986678,6.64410275,6.168844138,NA,6.529513518,2.160831129,-7.368885586,0.577875829,1.860628595
M capitata,A,93,tank8,Dark,Fed,D-F,symb,T8A-SYMB,B2V3,5.360114751,2.096891134,-1.548357144,2.579622382,4.776016544,2.689574165,4.910402056,15.91251418,4.348096094,4.914364282,NA,5.030589589,1.295200661,-5.747326559,4.542905558,1.957222654
M capitata,B,94,tank8,Dark,Fed,D-F,host,T8B-HOST,B2V2,7.724145657,3.790911777,-0.623322748,3.42300805,6.353736503,4.913520753,5.277348841,17.29847511,6.779098336,6.622148206,NA,6.644920178,1.744132444,-6.413882064,2.632964921,3.807909399
M capitata,B,94,tank8,Dark,Fed,D-F,symb,T8B-SYMB,B2V5.redo,8.146048659,5.033310184,1.27248727,3.93570313,6.7604201,3.827548384,3.994466835,18.00276291,5.001673522,6.542721235,NA,7.280611881,2.590156969,-6.015250619,4.953693582,5.133633063
