Species,Genotype,Tag,Tank,Light.Trt,Feed.Trt,Treat.Int,Fraction,Sample.ID,Analysis.ID,Alanine,Glycine,Threonine,Serine,Valine,Leucine,Isoleucine,Norleucine,Proline,Aspartic acid,Methionine,Glutamic acid,Phenylalanine,Aminoadipic Acid,Tyrosine,Lysine
M capitata,A,91,tank6,Light,Fed,L-F,host,T6A-HOST,B2V6_Sam6,-14.50109649,-14.08103448,-9.963636364,-11.27592593,-23.75633333,-24.87181818,-13.28318182,-27.78070833,-10.85566667,-11.56136364,NA,-8.284210526,-18.23359375,-19.98616667,-18.98554688,-10.32826087
M capitata,B,94,tank8,Dark,Fed,D-F,host,T8B-HOST,B2V2_Sam2,-15.57916667,-11.33074713,-12.05580808,-10.76111111,-25.288,-25.06484848,-15.39681818,-28.07923611,-10.27083333,-9.98989899,NA,-7.72872807,-20.02929688,-20.70498611,-19.91367188,-11.50634058
M capitata,B,94,tank8,Dark,Fed,D-F,symb,T8B-SYMB,B2V5_Sam5,-17.73837719,-15.70488506,-11.95580808,-7.313271605,-25.54816667,-25.79090909,-17.53060606,-28.36340278,-13.17433333,-12.16616162,NA,-10.15438596,-20.67447917,-22.38202778,-20.74036458,-13.07264493
M capitata,B,92,tank6,Light,Fed,L-F,symb,T6B-SYMB,B2V4_Sam4,-19.74802632,-22.37729885,-11.71035354,-9.229320988,-27.2615,-26.20060606,-16.48090909,-28.43123611,-14.959,-10.46414141,NA,-12.17368421,-21.49114583,-22.27997222,-21.93671875,-13.64945652
M capitata,A,93,tank8,Dark,Fed,D-F,symb,T8A-SYMB,B2V3_Sam3,-15.62,-13.56,-8.71,-5.36,-22.61,-23.44,-11.59,-27.42,-11.27,-10.07,NA,-8.72,-19.69,-21.29,-18.25,-11.9
M capitata,B,92,tank6,Light,Fed,L-F,host,T6B-HOST,B2V1_Sam1,-16.52105263,-15.94482759,-14.11212121,-9.733333333,-25.826,-25.76484848,-15.71333333,-27.23605556,-10.99733333,-10.35555556,NA,-9.378947368,-20.43125,-20.37911111,-20.62760417,-11.64275362
plankton,plank,0,plank,plank,plank,plank,plank,PLANK,B1V7_Sam5,-20.82719298,-19.48390805,-17.8959596,-11.02962963,-27.19666667,-27.83515152,-21.81454545,-28.52305556,-17.28,-15.37676768,NA,-16.1245614,-24.88385417,-21.81888889,-25.22291667,-19.3384058
M capitata,B,90,tank5,Light,NoFeed,L-NF,symb,T5B-SYMB,B1V6_Sam6,-16.97368421,-18.42988506,-8.692929293,-10.00123457,-26.83933333,-25.67939394,-16.95636364,-28.10505556,-12.70333333,-8.712121212,NA,-10.97807018,-21.53229167,-21.99977778,-21.54947917,-12.67826087
M capitata,A,89,tank5,Light,NoFeed,L-NF,symb,T5A-SYMB,B1V5_Sam4,-15.40964912,-15.46551724,-8.987626263,-9.687962963,-24.37733333,-24.14075758,-13.96575758,-28.20008333,-10.42733333,-8.506313131,NA,-10.17390351,-19.31393229,-21.6545,-20.98385417,-9.908152174
M capitata,A,91,tank6,Light,Fed,L-F,symb,T6A-SYMB,B1V4_Sam2,-16.38421053,-17.94137931,-7.978535354,-10.71882716,-24.96933333,-24.37590909,-13.99242424,-28.28563889,-10.39933333,-7.384090909,NA,-10.06425439,-19.31393229,-22.0945,-20.734375,-11.2509058
M capitata,A,89,tank5,Light,NoFeed,L-NF,host,T5A-HOST,B1V3_Sam7,-15.07127193,-13.66494253,-8.147979798,-7.561111111,-23.11566667,-23.71818182,-12.49757576,-27.226125,-9.735,-9.783585859,NA,-7.517105263,-20.02070313,-21.62868056,-21.74075521,-12.67463768
M capitata,A,93,tank8,Dark,Fed,D-F,host,T8A-HOST,B1V2_Sam3,-14.83355263,-12.11436782,-7.601515152,-7.200617284,-22.42633333,-23.10606061,-12.93272727,-27.31718056,-9.427,-9.093686869,NA,-6.09254386,-19.09830729,-21.279125,-22.75429688,-11.16956522
M capitata,B,90,tank5,Light,NoFeed,L-NF,host,T5B-HOST,B1V1_Sam1,-15.61403509,-13.49195402,-11.28888889,-8.251851852,-25.13866667,-25.62969697,-15.43818182,-28.19122222,-10.64066667,-11.33939394,NA,-9.660526316,-21.8234375,-22.17088889,-22.4375,-12.20869565
